2025-11-08 09:33:39.946 [info] Starting Python Locator /home/blueflowers/.vscode/extensions/ms-python.python-2025.16.0-linux-x64/python-env-tools/bin/pet server
2025-11-08 09:33:42.823 [info] Discovered env: /bin/python
2025-11-08 09:33:42.829 [info] Discovered env: /usr/bin/python
2025-11-08 09:33:42.831 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2025-11-08 09:33:42.879 [info] Discovered env: /usr/sbin/python
2025-11-08 09:33:42.882 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2025-11-08 09:33:42.882 [info] Discovered env: /sbin/python
2025-11-08 09:33:42.893 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-11-08 09:33:42.893 [info] Discovered env: /usr/sbin/python3
2025-11-08 09:33:42.897 [info] Env ("/usr/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-11-08 09:33:42.897 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-11-08 09:33:42.897 [info] Discovered env: /sbin/python3
2025-11-08 09:33:42.899 [info] Discovered env: /usr/sbin/python3.13
2025-11-08 09:33:42.901 [info] Env ("/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-11-08 09:33:42.901 [info] Discovered env: /sbin/python3.13
2025-11-08 09:33:42.903 [info] Locator Conda took 656.143875ms
2025-11-08 09:33:42.903 [info] Locator Homebrew took 348.861µs
2025-11-08 09:33:42.903 [info] Locator LinuxGlobal took 230.950439ms
2025-11-08 09:33:42.903 [info] Locator PipEnv took 28.623µs
2025-11-08 09:33:42.903 [info] Locator Pixi took 107.197µs
2025-11-08 09:33:42.903 [info] Locator Poetry took 332.771µs
2025-11-08 09:33:42.903 [info] Locator PyEnv took 286.526µs
2025-11-08 09:33:42.903 [info] Locator Venv took 34.062µs
2025-11-08 09:33:42.903 [info] Locator VirtualEnv took 180.341µs
2025-11-08 09:33:42.903 [info] Locator VirtualEnvWrapper took 40.414µs
2025-11-08 09:33:42.903 [info] Locator GlobalVirtualEnvs took 206.639µs
2025-11-08 09:33:42.903 [info] Locator Locators took 656.278451ms
2025-11-08 09:33:42.903 [info] Locator Path took 509.17865ms
2025-11-08 09:33:42.903 [info] Locator Workspaces took 5.788234ms
2025-11-08 09:33:42.903 [info] Refresh completed in 656ms
2025-11-08 09:33:42.904 [info] Resolved Python Environment /bin/python
2025-11-08 09:36:41.748 [info] Resolved Python Environment /bin/python
2025-11-08 09:37:34.491 [info] Resolved Python Environment /bin/python
2025-11-08 09:38:33.367 [info] Resolved Python Environment /bin/python
2025-11-08 09:39:25.742 [info] Resolved Python Environment /bin/python
2025-11-08 09:40:02.148 [info] Resolved Python Environment /bin/python
2025-11-08 09:41:56.655 [info] Resolved Python Environment /bin/python
2025-11-08 09:44:34.704 [info] Resolved Python Environment /bin/python
2025-11-08 09:45:24.135 [info] Resolved Python Environment /bin/python
2025-11-08 09:46:26.637 [info] Resolved Python Environment /bin/python
2025-11-08 09:47:13.730 [info] Resolved Python Environment /bin/python
2025-11-08 09:49:46.116 [info] Resolved Python Environment /bin/python
2025-11-08 09:50:17.381 [info] Resolved Python Environment /bin/python
2025-11-08 09:50:47.419 [info] Resolved Python Environment /bin/python
2025-11-08 09:51:19.674 [info] Resolved Python Environment /bin/python
2025-11-08 09:51:59.547 [info] Resolved Python Environment /bin/python
2025-11-08 09:52:31.978 [info] Resolved Python Environment /bin/python
2025-11-08 09:53:02.496 [info] Resolved Python Environment /bin/python
2025-11-08 09:53:38.924 [info] Resolved Python Environment /bin/python
2025-11-08 09:55:01.346 [info] Resolved Python Environment /bin/python
2025-11-08 09:55:59.031 [info] Resolved Python Environment /bin/python
2025-11-08 09:56:31.537 [info] Resolved Python Environment /bin/python
2025-11-08 09:57:02.156 [info] Resolved Python Environment /bin/python
2025-11-08 09:57:34.140 [info] Resolved Python Environment /bin/python
2025-11-08 09:58:23.502 [info] Resolved Python Environment /bin/python
2025-11-08 09:59:00.769 [info] Resolved Python Environment /bin/python
2025-11-08 10:00:20.941 [info] Resolved Python Environment /bin/python
2025-11-08 10:01:07.645 [info] Resolved Python Environment /bin/python
2025-11-08 10:02:57.079 [info] Resolved Python Environment /bin/python
2025-11-08 10:03:39.659 [info] Resolved Python Environment /bin/python
2025-11-08 10:04:18.015 [info] Resolved Python Environment /bin/python
2025-11-08 10:04:55.783 [info] Resolved Python Environment /bin/python
2025-11-08 10:06:19.993 [info] Resolved Python Environment /bin/python
2025-11-08 10:07:32.114 [info] Resolved Python Environment /bin/python
2025-11-08 10:08:05.695 [info] Resolved Python Environment /bin/python
2025-11-08 10:08:35.991 [info] Resolved Python Environment /bin/python
2025-11-08 10:09:54.137 [info] Resolved Python Environment /bin/python
2025-11-08 10:10:32.523 [info] Resolved Python Environment /bin/python
2025-11-08 10:11:34.476 [info] Resolved Python Environment /bin/python
2025-11-08 10:12:26.718 [info] Resolved Python Environment /bin/python
2025-11-08 10:13:45.381 [info] Resolved Python Environment /bin/python
2025-11-08 10:14:17.565 [info] Resolved Python Environment /bin/python
2025-11-08 10:14:51.836 [info] Resolved Python Environment /bin/python
2025-11-08 10:15:22.241 [info] Resolved Python Environment /bin/python
2025-11-08 10:15:58.152 [info] Resolved Python Environment /bin/python
2025-11-08 10:17:04.797 [info] Resolved Python Environment /bin/python
2025-11-08 10:17:35.426 [info] Resolved Python Environment /bin/python
2025-11-08 10:18:24.218 [info] Resolved Python Environment /bin/python
2025-11-08 10:18:59.766 [info] Resolved Python Environment /bin/python
2025-11-08 10:19:59.289 [info] Resolved Python Environment /bin/python
2025-11-08 10:20:47.488 [info] Resolved Python Environment /bin/python
2025-11-08 10:22:20.082 [info] Resolved Python Environment /bin/python
2025-11-08 10:23:00.851 [info] Resolved Python Environment /bin/python
2025-11-08 10:23:40.062 [info] Resolved Python Environment /bin/python
2025-11-08 10:24:33.921 [info] Resolved Python Environment /bin/python
2025-11-08 10:25:24.365 [info] Resolved Python Environment /bin/python
2025-11-08 10:26:20.362 [info] Resolved Python Environment /bin/python
2025-11-08 10:26:50.779 [info] Resolved Python Environment /bin/python
2025-11-08 10:27:20.781 [info] Resolved Python Environment /bin/python
2025-11-08 10:27:58.085 [info] Resolved Python Environment /bin/python
2025-11-08 10:28:44.423 [info] Resolved Python Environment /bin/python
2025-11-08 10:29:24.091 [info] Resolved Python Environment /bin/python
